Year,Real GDP,GDP Growth Rate,Population,Population Growth Rate,Exchange Rates,Exchange Rates Growth Rate,Real GDP per capita,Real GDP per capita growth rate,GDP deflator,GDP deflator growth rates,CPI,CPI Growth Rate
1970,3.37,1,2156612,1,,,1562.13,1,,,,
1971,3.50,4.00,2208719,2.42,,,1586.30,1.55,2.79,1,,
1972,3.64,4.01,2263554,2.48,,,1610.00,1.49,2.76,-1.10,,
1973,3.79,4.02,2295691,1.42,,,1651.25,2.56,2.73,-1.10,,
1974,3.94,3.97,2347924,2.28,,,1678.62,1.66,2.70,-1.07,,
1975,4.10,4.05,2401108,2.27,,,1707.97,1.75,2.67,-1.13,,
1976,4.27,4.03,2454824,2.24,,,1737.92,1.75,2.64,-1.09,,
1977,4.43,3.83,2509048,2.21,,,1765.47,1.59,2.62,-1.00,,
1978,4.62,4.30,2563376,2.17,,,1802.39,2.09,2.58,-1.29,,
1979,4.80,3.96,2617679,2.12,,,1834.89,1.80,2.56,-.97,,
1980,4.96,3.23,2671412,2.05,,,1856.08,1.15,2.54,-.73,,
1981,5.24,5.75,2724272,1.98,,,1924.64,3.69,2.48,-2.14,,
1982,5.40,2.95,2780097,2.05,,,1941.61,.88,2.48,-.02,,
1983,5.46,1.10,2837315,2.06,,,1923.47,-.93,2.48,-.02,,
1984,5.39,-1.25,2895998,2.07,,,1860.91,-3.25,2.48,-.03,,
1985,5.49,1.78,2956697,2.10,,,1855.16,-.31,2.49,.35,,
1986,5.79,5.64,3015438,1.99,,,1921.57,3.58,2.43,-2.42,,
1987,5.75,-.79,3075321,1.99,,,1869.31,-2.72,2.43,.00,,
1988,5.67,-1.42,3136843,2.00,,,1806.62,-3.35,2.43,.00,,
1989,6.22,9.84,3195800,1.88,,,1947.72,7.81,2.43,.00,,
1990,5.63,-9.58,3244925,1.54,,,1734.55,-10.94,2.42,-.43,,
1991,4.05,-28.00,3181048,-1.97,208.07,1,1273.92,-26.56,3.28,35.51,4.45,1
1992,3.76,-7.19,3072011,-3.43,296.38,42.44,1224.33,-3.89,10.92,232.98,14.49,226.01
1993,4.12,9.56,3066284,-0.19,224.38,-24.29,1343.87,9.76,24.65,125.65,26.81,85.00
1994,4.46,8.30,3111161,1.46,174.13,-22.39,1434.45,6.74,33.49,35.84,32.86,22.57
1995,5.06,13.32,3158153,1.51,162.69,-6.57,1601.37,11.64,36.82,9.97,35.42,7.79
1996,5.52,9.10,3203598,1.44,167.48,2.94,1722.31,7.55,50.88,38.17,39.93,12.73
1997,4.92,-10.92,3225413,0.68,183.42,9.52,1523.86,-11.52,56.60,11.24,53.18,33.18
1998,5.35,8.83,3212769,-0.39,156.15,-14.87,1664.93,9.26,60.41,6.73,64.15,20.64
1999,6.04,12.89,3187327,-0.79,145.30,-6.95,1894.56,13.79,61.68,2.10,64.40,0.39
2000,6.46,6.95,3158351,-0.91,156.67,7.83,2044.75,7.93,65.16,5.65,64.43,0.05
2001,6.99,8.29,3128001,-0.96,155.99,-0.44,2235.81,9.34,67.65,3.81,66.44,3.11
2002,7.31,4.54,3098028,-0.96,143.64,-7.92,2359.85,5.55,70.11,3.65,71.60,7.77
2003,7.72,5.53,3069664,-0.92,127.15,-11.48,2513.33,6.50,73.76,5.20,71.95,0.48
2004,8.14,5.51,3045640,-0.78,107.64,-15.34,2672.85,6.35,76.08,3.15,73.59,2.28
2005,8.59,5.53,3024532,-0.69,105.62,-1.88,2840.25,6.26,78.60,3.31,75.33,2.37
2006,9.10,5.90,3005777,-0.62,104.61,-0.95,3026.66,6.56,80.55,2.48,77.11,2.37
2007,9.64,5.98,2991573,-0.47,96.37,-7.88,3222.99,6.49,84.08,4.39,79.38,2.93
2008,10.36,7.50,2984372,-0.24,89.83,-6.78,3473.07,7.76,87.54,4.12,82.01,3.32
2009,10.71,3.35,2983560,-0.03,99.13,10.35,3590.55,3.38,89.66,2.42,83.87,2.27
2010,11.11,3.71,2989272,0.19,106.39,7.33,3716.53,3.51,93.69,4.49,86.91,3.63
2011,11.39,2.55,2998428,0.31,102.99,-3.20,3799.49,2.23,95.86,2.31,89.89,3.43
2012,11.55,1.42,3007803,0.31,110.48,7.27,3841.33,1.10,96.86,1.04,91.72,2.03
2013,11.67,1.00,3017282,0.32,107.41,-2.78,3867.63,.68,97.14,.29,93.50,1.94
2014,11.88,1.77,3026779,0.31,107.21,-0.19,3923.91,1.46,98.64,1.55,95.02,1.63
2015,12.14,2.22,3036304,0.31,125.79,17.34,3998.39,1.90,99.20,.56,96.82,1.90
2016,12.54,3.31,3045854,0.31,123.96,-1.45,4117.98,2.99,98.57,-.63,98.05,1.28
2017,13.02,3.80,3055278,0.31,119.10,-3.92,4261.39,3.48,100.00,1.45,100.00,1.99
2018,13.54,4.02,3064357,0.30,108.42,-8.96,4419.54,3.71,101.47,1.47,102.03,2.03
2019,13.83,2.09,3072944,0.28,110.73,2.12,4499.20,1.80,102.75,1.26,103.47,1.41
2020,13.37,-3.30,3080930,0.26,109.08,-1.49,4339.35,-3.55,103.46,.70,105.14,1.62
2021,14.56,8.91,3088385,0.24,106.66,-2.21,4714.52,8.65,107.04,3.45,107.29,2.04
2022,15.27,4.86,3095344,0.23,117.83,10.47,4932.36,4.62,117.60,9.87,114.51,6.73
2023,15.79,3.44,3101621,0.20,104.24,-11.53,5091.66,3.23,122.95,4.55,119.96,4.76
2024,16.31,3.30,3107100,0.18,98.78,-5.24,5250.41,3.12,126.84,3.16,123.63,3.06
2025,16.93,3.80,3111630,0.15,94.61,-4.22,5442.00,3.65,130.65,3.00,127.07,2.79
2026,17.63,4.10,3115029,0.11,93.04,-1.66,5658.94,3.99,133.95,2.53,129.61,1.99
2027,18.32,3.90,3117196,0.07,93.31,0.29,5875.55,3.83,136.29,1.75,132.29,2.07
2028,18.96,3.50,3118092,0.03,93.91,0.64,6081.19,3.50,138.88,1.90,135.20,2.20
2029,19.45,2.60,3117727,-0.01,94.50,0.63,6239.30,2.60,141.66,2.00,138.31,2.30
2030,19.92,2.40,3116046,-0.05,94.79,0.31,6395.44,2.50,144.64,2.10,141.63,2.40
2031,20.37,2.30,3112980,-0.10,95.02,0.24,6549.08,2.40,147.82,2.20,145.17,2.50
2032,20.84,2.30,3108553,-0.14,95.18,0.16,6706.42,2.40,151.22,2.30,148.95,2.60
2033,21.32,2.30,3102867,-0.18,95.37,0.20,6867.54,2.40,154.70,2.30,152.82,2.60
2034,21.81,2.30,3096013,-0.22,95.58,0.22,7032.52,2.40,158.25,2.30,156.79,2.60
